"","id_jogador","nome_jogador","id_partida","data_nascimento_jogador","posicao","altura","nome_temporada","minutos_partida_jogador","pontos_equipe_casa","pontos_equipe_fora","pontos_total_jogador","pontos_total_jogador_e_pontos_perdidos_jogador","arremessos_2_certos_jogador","arremessos_2_total_jogador","arremessos_3_certos_jogador","arremessos_3_total_jogador","arremessos_lance_livre_certos_jogador","arremessos_lance_livre_total_jogador","rebotes_ofensivos_jogador","rebotes_defensivos_jogador","rebotes_total_jogador","assistencias_total_jogador","roubadas_bola_jogador","tocos_total_jogador","faltas_cometidas_jogador","faltas_recebidas_jogador","erros_jogador","violacao_jogador","enterradas_total_jogador","enterradas_total_jogador","eficiencia_jogador"
"1",21,"Felipe Gustavo Da Silva",1838,"22/10/1990","Armador",1.87,"2008/2009",1298166,78,81,14,40,4,4,1,5,3,3,2,10,12,11,4,0,6,0,5,0,0,0,32
"2",22,"Francisco Tardivo Delben",1847,"29/06/1983","AlaPivo",2.02,"2008/2009",4342657.8,95,70,239,739,48,96,35,85,38,53,29,76,105,34,34,22,71,0,36,0,2,2,285
"3",23,"Arlindo Gomes Baltazar Neto",1820,"05/01/1986","AlaArmador",NA,"2008/2009",3906173.25,78,62,341,1037,72,126,46,124,59,72,8,52,60,113,45,0,38,0,88,0,1,1,326
"4",25,"Deivisson Dos Santos Costa",1860,"09/04/1980","Pivo",2.1,"2008/2009",4394461.45,76,66,160,394,64,95,0,1,32,41,28,47,75,9,7,7,63,0,17,0,0,0,200
"5",28,"Ricardo Leopoldo de Azevedo",1857,"30/06/1983","AlaPivo",2.02,"2008/2009",3437921.4,74,47,229,721,40,79,43,101,20,31,31,70,101,32,18,3,38,0,26,0,2,2,249
"6",30,"Matheus dos Prazeres Costa",1868,"01/04/1980","Armador",1.8,"2008/2009",3092034.5,64,59,250,787,37,71,47,115,35,50,15,55,70,101,21,3,58,0,39,0,0,0,289
"7",31,"Arthur Luiz Belchor Silva",1885,"30/09/1982","Ala",1.97,"2008/2009",6923456.25,76,68,581,1669,122,218,65,157,142,181,27,100,127,81,38,15,124,0,85,0,4,4,543
"8",33,"Frederico Rossi Dos Santos",1874,"09/04/1980","Ala",1.95,"2008/2009",663560.35,103,76,54,160,8,15,10,22,8,10,4,12,16,6,7,1,17,0,14,0,1,1,49
"9",34,"Márcio Santos Cipriano",1884,"04/06/1979","AlaPivo",2,"2008/2009",3649700.8,82,78,259,869,75,166,18,66,55,80,60,162,222,54,30,16,108,0,81,0,1,1,336
"10",35,"Rafael Rodrigues",1884,"17/10/1987","Pivo",NA,"2008/2009",3701215.7,82,78,176,430,73,105,0,0,30,44,31,54,85,3,8,8,62,0,37,0,5,5,197
"11",36,"José Estevam Ferreira Junior",1885,"24/07/1978","Pivo",2.11,"2008/2009",4715893.75,76,68,337,906,135,229,1,6,64,93,67,134,201,10,15,37,77,0,45,0,33,33,427
"12",39,"Diego Pinheiro Da Silva",1885,"14/06/1980","Ala",1.95,"2008/2009",6505399.2,76,68,446,1333,112,206,50,128,72,91,36,95,131,69,41,12,97,0,73,0,13,13,418
"13",40,"Audrei Parisotto",1848,"27/09/1984","Ala",1.91,"2008/2009",4816945.75,63,72,434,1322,119,235,25,90,121,148,34,55,89,44,37,2,85,0,53,0,1,1,345
"14",43,"Shilton Alessanco dos Santos",1873,"10/08/1982","Pivo",1.98,"2008/2009",6722367,92,86,370,1006,134,227,0,1,102,179,123,226,349,77,36,19,91,0,64,0,25,25,616
"15",45,"Evandro Fernandes Pinto",1878,"08/11/1980","AlaPivo",1.9,"2008/2009",2602989.25,90,101,189,594,44,69,28,81,17,24,13,27,40,25,12,0,21,0,28,0,0,0,153
"16",57,"André Luiz Bresolin Góes",1875,"05/03/1987","Ala",1.95,"2008/2009",3949547.35,109,94,223,691,47,104,26,64,51,68,12,45,57,60,29,11,64,0,53,0,3,3,215
"17",58,"Alexandre Henrique Santos Pinheiro",1846,"06/06/1985","Armador",1.85,"2008/2009",6357971.85,79,69,233,746,53,86,20,80,67,101,13,66,79,103,53,4,64,0,61,0,1,1,284
"18",62,"Tiago Valentim de Lima",1875,"07/03/1981","Pivo",NA,"2008/2009",4542602.7,109,94,214,645,65,110,17,53,33,52,46,102,148,14,23,10,72,0,33,0,9,9,276
"19",70,"Jefferson de Souza Sobral",1875,"04/04/1980","Pivo",2.03,"2008/2009",6420278.2,109,94,523,1680,96,208,75,203,106,132,34,123,157,57,48,24,86,0,91,0,14,14,452
"20",75,"Rodrigo Pereira Santos Bispo",1682,"23/10/1979","Pivo",2.04,"2008/2009",5085262.85,84,72,308,894,106,193,15,42,51,74,50,107,157,33,25,22,83,0,37,0,6,6,371
"21",80,"José Anibal Arantes Limonta Silva",1751,"16/03/1988","Armador",1.84,"2008/2009",941834,92,73,14,37,3,3,1,3,5,8,1,3,4,2,1,0,3,0,4,0,0,0,12
"22",81,"Anderson Eurípedes Ferreira",1850,"17/04/1982","AlaPivo",2.05,"2008/2009",3639692.05,88,68,309,874,79,123,33,81,52,76,43,135,178,16,20,14,62,0,41,0,10,10,380
"23",86,"Guilherme Filipin Alves Pereira",1699,"07/08/1983","Ala",NA,"2008/2009",995008.55,83,75,24,68,2,4,5,10,5,6,6,4,10,3,1,0,8,0,6,0,0,0,24
"24",91,"Hélio Rubens Garcia Filho",1868,"12/05/1975","Armador",1.83,"2008/2009",2828477.5,64,59,231,743,25,58,42,111,55,63,3,48,51,85,34,3,52,0,46,0,0,0,248
"25",95,"Ricardo Luis Probst",1878,"13/04/1976","Pivo",2,"2008/2009",4364137.85,90,101,292,858,82,159,16,47,80,107,60,157,217,39,22,13,88,0,56,0,0,0,392
"26",96,"Cauê Borges dos Santos",1721,"13/02/1991","AlaArmador",1.9,"2008/2009",1190719.05,107,83,35,96,11,17,1,4,10,15,7,6,13,2,5,2,10,0,1,0,0,0,42
"27",97,"Cauê Verzola de Freitas",1868,"05/05/1988","Armador",1.92,"2008/2009",3256746.4,64,59,80,228,25,33,7,22,9,16,12,32,44,21,20,5,29,0,14,0,0,0,126
"28",100,"Lucas Daniel Tischer",1847,"29/03/1983","Pivo",2.08,"2008/2009",1886668.6,95,70,158,477,55,109,0,6,48,83,31,56,87,12,8,11,51,0,25,0,12,12,156
"29",102,"Leonardo Di Pacce Dos Santos",1859,"06/10/1984","Pivo",NA,"2008/2009",5590449,87,84,353,926,138,227,0,5,77,104,43,116,159,39,29,31,90,0,44,0,52,52,446
"30",104,"Paulo Rogerio Nery",1788,"17/03/1981","Armador",1.9,"2008/2009",3213757.7,94,72,273,886,48,96,46,118,39,67,22,37,59,41,17,3,57,0,44,0,0,0,201
"31",107,"Rafael Ferreira De Souza",1844,"03/06/1988","AlaPivo",2.09,"2008/2009",2691889.1,93,96,234,657,82,147,3,14,61,87,47,61,108,11,13,15,50,0,39,0,11,11,240
"32",113,"Paulo Fernando Moreira De Castro",1845,"07/06/1979","Pivo",2.11,"2008/2009",5013765.75,82,74,344,966,146,266,0,1,52,87,82,108,190,15,17,22,93,0,56,0,13,13,376
"33",117,"Renato Lamas Pinto",1866,"28/05/1978","Ala",2.03,"2008/2009",6135100.05,89,95,421,1400,74,148,72,203,57,74,32,85,117,130,28,4,94,0,72,0,2,2,406
"34",118,"Bruno Enrico Mortari",1835,"02/01/1980","Ala",1.86,"2008/2009",1965937.05,80,72,95,336,6,13,26,68,5,11,7,19,26,18,16,0,27,0,17,0,0,0,83
"35",122,"Fernando Martins Alvim",1885,"26/12/1980","Pivo",2.02,"2008/2009",3683451.65,76,68,142,408,35,63,20,40,12,20,21,29,50,15,11,3,32,0,13,0,0,0,147
"36",134,"José Roberto Nardi Duarte",1862,"24/05/1988","AlaArmador",1.95,"2008/2009",3298970.65,77,63,186,542,28,57,26,57,52,71,15,33,48,43,27,2,48,0,25,0,4,4,202
"37",137,"Shamell Jermaine Stallworth",1866,"07/09/1980","Ala",NA,"2008/2009",5229804.45,89,95,487,1416,85,148,68,168,113,129,19,83,102,69,47,5,53,0,49,0,3,3,482
"38",138,"Luis Fernando da Silva",1838,"03/12/1978","AlaArmador",1.83,"2008/2009",4553684.55,78,81,315,991,50,102,47,130,74,82,6,42,48,44,25,3,53,0,56,0,0,0,236
"39",140,"Eduardo Mariano de Oliveira",1866,"29/09/1983","Ala",1.93,"2008/2009",3707650.75,89,95,143,391,46,63,12,34,15,20,14,46,60,23,31,5,40,0,20,0,11,11,198
"40",145,"Renato Carbonari",1857,"24/04/1987","AlaPivo",2.05,"2008/2009",3773529.3,74,47,80,236,20,37,12,26,4,4,15,18,33,10,1,1,24,0,8,0,4,4,86
"41",146,"Guilherme Pereira Deodato",1824,"02/06/1991","Ala",1.92,"2008/2009",813500,73,63,11,40,2,3,2,7,1,2,0,3,3,1,1,1,1,0,2,0,0,0,8
"42",147,"Alexandro da Silva de Oliveira",1861,"17/08/1983","Ala",NA,"2008/2009",6492523.05,75,74,386,1212,94,161,44,130,66,114,44,60,104,59,25,7,71,0,59,0,21,21,321
"43",149,"Fernando Fischer",1861,"14/08/1981","AlaArmador",1.9,"2008/2009",4274503.45,75,74,357,1053,44,89,73,153,50,59,18,50,68,26,25,1,50,0,22,0,0,0,321
"44",151,"Edwandesson Carvalho",1846,"29/03/1987","AlaArmador",1.96,"2008/2009",4684769.2,79,69,421,1409,103,192,49,159,68,127,23,55,78,43,34,13,76,0,76,0,32,32,255
"45",152,"Hélio Vitor Luiz da Costa Lima",1885,"14/11/1981","AlaArmador",1.87,"2008/2009",4566252.25,76,68,324,951,91,158,34,84,40,59,29,62,91,113,32,1,47,0,55,0,1,1,368
"46",153,"Frederico Lima Santos",1884,"08/06/1980","Armador",1.84,"2008/2009",2724166.2,82,78,146,427,29,53,19,45,31,40,7,34,41,69,17,0,28,0,25,0,0,0,189
"47",154,"Jefferson William Andrade da Silva Antônio",1885,"29/03/1983","AlaPivo",2.07,"2008/2009",6189525.8,76,68,470,1449,85,161,77,190,69,87,57,183,240,55,35,17,92,0,65,0,6,6,544
"48",155,"Luiz Felipe Campos Lemes",1878,"06/10/1980","AlaArmador",1.9,"2008/2009",5689100.4,90,101,239,746,42,75,38,103,41,48,10,47,57,86,17,4,46,0,45,0,0,0,253
"49",159,"William Fournou Drudi",1868,"22/09/1981","Pivo",2.02,"2008/2009",5396291,64,59,369,1044,138,276,0,3,93,114,46,143,189,32,15,12,72,0,49,0,3,3,406
"50",161,"Thiago Perez Pereira da Silva",1850,"09/12/1982","Ala",1.93,"2008/2009",2453190.85,88,68,105,339,9,28,20,46,27,40,8,27,35,20,11,0,31,0,22,0,0,0,91
"51",165,"Leandro Da Cruz Silva",1876,"15/05/1981","AlaPivo",2.03,"2008/2009",5212347.3,89,79,222,634,38,75,30,64,56,70,26,67,93,27,31,8,65,0,29,0,5,5,267
"52",166,"Vinícius Villela Gobor",1820,"03/09/1990","Armador",NA,"2008/2009",1185771.1,78,62,81,225,12,26,15,26,12,14,3,19,22,21,8,0,29,0,28,0,0,0,77
"53",167,"Rodrigo César Silva",1806,"28/02/1988","AlaPivo",2.05,"2008/2009",28.45,101,70,8,19,0,0,2,3,2,2,2,7,9,4,0,1,2,0,6,0,0,0,15
"54",168,"Guilherme Santos Hubner",1771,"28/04/1987","AlaPivo",2.1,"2008/2009",258346.7,83,78,9,25,4,7,0,0,1,2,4,1,5,0,0,1,2,0,2,0,1,1,9
"55",174,"Alessandro Magno Rocha Dos Santos",1846,"07/05/1977","AlaPivo",2.03,"2008/2009",2356125.35,79,69,244,720,51,89,30,79,52,61,34,82,116,19,34,6,66,0,44,0,10,10,279
"56",175,"Thiago Farias Mathias Rosa",1796,"28/07/1989","Pivo",NA,"2008/2009",460884.5,85,75,28,79,12,20,0,1,4,8,11,14,25,1,3,7,26,0,5,0,2,2,46
"57",178,"Marcos Vinícius Inácio",1847,"10/08/1984","Pivo",2.05,"2008/2009",2465614.2,95,70,116,340,39,70,3,14,29,42,14,54,68,15,3,22,61,0,28,0,11,11,141
