"","id_jogador","nome_jogador","posicao","altura","peso"
"1",61,"Luiz Felipe Faria Azevedo Filho","Ala","1.9",NA
"2",736,"Johnnie Nascimento S. Reis","Ala","1.85",NA
"3",138,"Luis Fernando da Silva","Ala/Armador","1.83","84kg"
"4",178,"Marcos Vinícius Inácio","Pivô","2.05","120kg"
"5",275,"Arnaldo De Souza Moreira Filho","Ala/Armador",NA,"87kg"
"6",277,"Rafael Carlos Stabile Silva","Ala","1.95","100kg"
"7",1059,"Ricardo Santos Gaspar","Ala/Pivô","2.05",NA
"8",21,"Felipe Gustavo Da Silva","Armador","1.87",NA
"9",335,"Márcio Faria De Azevedo","Armador","0",NA
"10",23,"Arlindo Gomes Baltazar Neto","Ala/Armador",NA,"76kg"
"11",339,"Amiel Morejon Vega","Ala/Pivô","0",NA
"12",59,"Manuil Egídio Leal De Souza","Pivô","2.13",NA
"13",351,"André Luiz Quirino Pereira","Pivô","2.05","105kg"
"14",131,"Julio Cesar De Toledo","Ala/Pivô","0",NA
"15",60,"Robson Coimbra Vesper","Ala","1.95",NA
"16",172,"Lucas Moura Costa","Ala","1.86",NA
"17",216,"Renan Santos Lenz","Pivô",NA,"102kg"
"18",276,"Henrique Miguel Nunes","Armador","0",NA
"19",278,"Diego Dos Santos Augusto","Pivô","1.75",NA
"20",325,"Omar Kennedy Bertolin Pereira","Pivô","2.03",NA
"21",22,"Francisco Tardivo Delben","Ala/Pivô","2.02",NA
"22",338,"Leonardo De Oliveira Gomes","Armador","0",NA
"23",58,"Alexandre Henrique Santos Pinheiro","Armador","1.85","89kg"
"24",341,"Guilherme Schneider","Ala",NA,"85kg"
"25",442,"Joseph Delano Shipp Iii","Ala/Pivô","0",NA
"26",267,"Eduardo Magalhães Machado","Ala/Armador",NA,"90kg"
"27",140,"Eduardo Mariano de Oliveira","Ala","1.93","95kg"
"28",286,"Eduardo Augusto Reis Baeta","Ala","1.95",NA
"29",323,"Thiago Fabiano Da Silva Pereira","Armador","1.91",NA
"30",166,"Vinícius Villela Gobor","Armador",NA,"90kg"
"31",34,"Márcio Santos Cipriano","Ala/Pivô","2",NA
"32",104,"Paulo Rogerio Nery","Armador","1.9",NA
"33",449,"Fernando Feres Penna","Armador","1.89",NA
"34",293,"Daniel Fonseca Barreto Soares","Armador","1.9",NA
"35",269,"Antwine Cyprian Williams","Ala","1.91",NA
"36",288,"Fernando Ferreira Dos Reis","Armador","1.86",NA
"37",352,"Anderson Jose De Oliveira","Pivô","2.02",NA
"38",168,"Guilherme Santos Hubner","Ala/Pivô","2.1","115kg"
"39",101,"Thiago Melo","Armador","1.77",NA
"40",36,"José Estevam Ferreira Junior","Pivô","2.11",NA
"41",213,"Leandro Sedenir Buboltz","Ala/Armador","2",NA
"42",331,"Bruno Machado Pinto E Silva","Armador","0",NA
"43",294,"Flavio Aurélio Dos Santos Soares","Armador","1.87",NA
"44",290,"Nilo Rodrigues da Costa Júnior","Ala","1.98",NA
"45",187,"Murilo Becker da Rosa","Pivô","2.08","115kg"
"46",106,"Rodrigo Reis Silva","Pivô","2.06",NA
"47",39,"Diego Pinheiro Da Silva","Ala","1.95",NA
"48",300,"Thulius Kreling Da Rosa","Armador","0",NA
"49",354,"Júlio César Pereira Correa","Armador","0",NA
"50",314,"Luis Fernando Lima dos Santos","Ala","1.93",NA
"51",481,"Alex Ribeiro Garcia","Ala","1.9","100kg"
"52",189,"Raul Togni Neto","Armador","1.84",NA
"53",118,"Bruno Enrico Mortari","Ala","1.86",NA
"54",43,"Shilton Alessanco dos Santos","Pivô","1.98","112kg"
"55",79,"Flavio Henrique Alves","Ala/Pivô","1.95",NA
"56",304,"Icaro Parisotto","Armador","1.85",NA
"57",482,"Carlos Alexandre Rodrigues do Nascimento","Ala/Pivô","2.03","106kg"
"58",794,"Isaac Rafael Gonçalves","Ala","1.92","96kg"
"59",1058,"Jefferson Campos","Ala/Armador",NA,"86kg"
"60",152,"Hélio Vitor Luiz da Costa Lima","Ala/Armador","1.87","89kg"
"61",50,"Augusto Cesar Bresolin Goes","Ala/Pivô","1.95",NA
"62",82,"Henrique Nogueira Hernandes","Ala/Pivô","1.93",NA
"63",307,"Ildes Henrique Dos Santos","Armador","0",NA
"64",319,"Ricardo Laste","Armador","0",NA
"65",858,"Atílio Leonardo Gomes de Mello","Pivô","2.06","130kg"
"66",154,"Jefferson William Andrade da Silva Antônio","Ala/Pivô","2.07"," 104kg"
"67",62,"Tiago Valentim de Lima","Pivô",NA,"110kg"
"68",160,"David Da Silva Teles","Pivô","2.04",NA
"69",309,"Fabricio Russo de Oliveira","Ala","2",NA
"70",55,"Andre Luiz G. de Oliveira","Pivô","2.05",NA
"71",366,"Welington Reginaldo dos Santos","Armador","1.85","75kg"
"72",330,"Willians Lucas Ferreira Da Silva","Ala/Pivô","2.02","120kg"
"73",191,"Rafael Paulo De Lara Araújo","Pivô","2.12",NA
"74",117,"Renato Lamas Pinto","Ala","2.03",NA
"75",263,"Ricardo Junqueira Giannecchini","Armador","1.81",NA
"76",320,"Andre Luiz Marques Ferreira Dos Santos","Ala","1.98",NA
"77",107,"Rafael Ferreira De Souza","Ala/Pivô","2.09","104kg"
"78",32,"Adriano Jose Faggeane Galvão","Armador","1.92",NA
"79",358,"Fransérgio Gilberto Marques","Ala","1.89",NA
"80",203,"Wagner de Carvalho França Mattos","NOTFOUNDCONFIRMED",NA,NA
"81",137,"Shamell Jermaine Stallworth","Ala",NA,"97kg"
"82",280,"Andre Luis Fonseca Guimarães","Armador","0",NA
"83",322,"Ricardo Augusto Ferreira Ignácio","Armador","0",NA
"84",165,"Leandro Da Cruz Silva","Ala/Pivô","2.03",NA
"85",33,"Frederico Rossi Dos Santos","Ala","1.95",NA
"86",1007,"Vinicius de Oliveira Cornelio Pastor","Ala","2","103kg"
"87",447,"André Stefanelli Martins","Ala","1.98","92kg"
"88",268,"Marcellus Sarmento Câmara da Silva","Ala","1.88","96kg"
"89",182,"Guilherme Frantz Teichmann","Ala/Pivô","2.04",NA
"90",287,"Alfredo Luiz Perandini","Ala","1.94",NA
"91",348,"Bruno Vieira da Cruz Langsdorff","Armador","1.88","92kg"
"92",167,"Rodrigo César Silva","Ala/Pivô","2.05",NA
"93",86,"Guilherme Filipin Alves Pereira","Ala",NA,"97kg"
"94",35,"Rafael Rodrigues","Pivô",NA,NA
"95",113,"Paulo Fernando Moreira De Castro","Pivô","2.11",NA
"96",311,"Daniel Andreev Conti","Pivô","2.02",NA
"97",848,"Adriano de Abreu  Machado","Pivô",NA,"104kg"
"98",289,"Jorge Luis Amaral Seraphim","Armador","0",NA
"99",363,"Luis Guilherme Dos Santos","Armador","1.8",NA
"100",175,"Thiago Farias Mathias Rosa","Pivô",NA,"115kg"
"101",102,"Leonardo Di Pacce Dos Santos","Pivô",NA,NA
"102",768,"Tchielo Lisboa Camboim","Ala/Pivô","2",NA
"103",270,"Rodrigo Del Arco","Armador","1.76",NA
"104",334,"Rafael De Souza Fusco","Ala","1.92",NA
"105",297,"Fabiano De Oliveira Souza","Ala/Pivô","0",NA
"106",480,"Valter Apolinario Da Silva","Armador","1.85","90kg"
"107",188,"Facundo Luis Sucatzky","Armador","1.77",NA
